"","movieTitle","score","regDate","wom"
"3326","7번방의 선물",2,"2013-06-29","2.0베를린이 기대이상으로 괜찮았고(류승환 다시봤음ㅎ) 이 영화가 베를린보다 낫다는 글들이 판치길래 봤더니만 늬미,,! 울화가치미는 역겨운 바보연기하며 가문에 영광급 억지설정에다가 참 가관이더만 ㅋ 류승룡 바보컨쌥 참 ㅋ 아이엠쌤의  션팬 기대했었다                      "
"9972","몽타주",9,"2013-05-17","9.0이런 장르 별로 안좋아하는데....스토리 탄탄하고, 연기 정말 감동이었다                     "
"8070","전국노래자랑",8,"2013-04-24","8.0기대보다 훨씬 재밌었네요 진짜 가볍게 즐겁게 볼수 잇는 영화에요ㅋㅋ 7번방의 선물보다 훨 재밌었어요!! 유연석님 너무 멋있네요 bb                    "
"3092","28일 동안",8,"2014-02-24","8.0의존적일 때도 정돈되어지는 중에도 아쉬움 가득 하다                    "
"4042","아저씨",10,"2014-06-09","10.0원빈이 클라이막스때 액션씬 전률에 가까웠다 ...영화가 대박..이래서 원빈 원빈 하는구나 ...마지막에는 눈물이 ...이건 뭐 레퍼런스급 영화다 .........................어떤 극찬도 부족하지 않는 영화                    "
"4410","신세계",6,"2013-03-13","6.0이정재 때문에 몰입 안되는 영화.                     "
"6453","겨울왕국",7,"2014-01-19","7.04DX는 돈 아깝다그냥 보는게 나을듯                    "
"9881","국경의 남쪽",10,"2013-04-03","10.0아련한 추억속 소중함을 내게 선물해준 완소작품♥                       "
"1684","타운",8,"2013-06-12","8.0감독으로 합격점을 받은 벤 애플렉                    "
"7278","친구2",10,"2013-11-15","10.0친구아이가~ㅎㅎㅎㅎ사나이 가슴을 또 울리는구만!!                    "
"7755","팬텀: 라스트 커맨더",8,"2013-10-03","8.0재밌는 전쟁영화.                     "
"8904","어바웃 타임",9,"2014-01-13","9.0감동 재미 다 있네요 ^^                    "
"3041","베를린",10,"2013-02-07","10.0아 진짜 너무 설레고 스릴만점이였던거 같아요 영화보고 평점주긴 또 처음이네                    "
"9984","전국노래자랑",10,"2013-05-02","10.0아이언맨 보단 편하게 봤네요.. 마지막 부분에는 힐링이 되는 기분이었음 ,,,                    "
"5512","엑스맨: 데이즈 오브 퓨처 패스트",1,"2014-06-06","1.0어이없는 영화!영화같지않은 영화!자리 지키고 앉아있느라 짜증났음!                    "
"9284","미스터 고",10,"2013-07-11","10.0여태것 과장된 3D 효과의 영화만 보다가 미스터 고를 보니 진정한 3D 라 보여짐.   자연스런 효과로 어지러움이나 거부감이 느껴지지 않도록 잘 처리 되었음.  CG 는 계속 진화하겠지만 현재 수준에서는 A학점으로 보임.   다만 아바타같이 화려한 칼라가 구사된게 아니라 그 효과가 덜 돋보였음.                    "
"2680","명량",5,"2014-08-09","5.0그냥 재밌다감동의 연출력이 2%부족한 느낌?                    "
"246","설국열차",5,"2013-08-03","5.0횟불 장면 내내 소름 쫙. 기발하고 신선하고 유머러스러운 영화. 메세지 액션 감동 웃음 판타지 등 모든요소가 다 있고 무엇보다도 졸 세련되게 표현됨..이 재밋고 지적인영화를 한국인이ㅜㅜ 자랑스럽다. 영화볼줄모르는인간들이여 틀에 벗어낫다고 쓰레기라니! 답 안나온다수준. 이런영화른 돈내고 두번보는거임.대-박                    "
"3982","킹스맨: 시크릿 에이전트",9,"2015-03-08","9.0모처럼 재밌게 본 영화.                     "
"1942","노리개",1,"2014-07-13","1.0단지 소재만 좋았다. 이야기를 풀어나가는 힘은 부족하고, 법정을 배경으로 함에도 불구하고 극의 긴장감이 전혀 없다. 그리고 감독의 연출력은 형편없으며, 여배우들의 연기력은 중하. 사회부조리를 고발하는 영화로서 전혀 분노감이 들지않는다.                    "
"8110","설국열차",10,"2013-08-03","10.0몰입도 100 배우들연기 카메라앵글연출 다 좋았다 계속 생각해보게하는 영화                    "
